open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1643666400000,0.60840000,0.61170000,0.60810000,0.60880000,5061408.00000000,1643669999999,3084885.99730000,4895,3107155.00000000,1893349.29050000,0
1643670000000,0.60880000,0.62420000,0.60870000,0.61740000,16184597.00000000,1643673599999,10002086.57800000,15311,9360353.00000000,5782152.44560000,0
1643673600000,0.61740000,0.61780000,0.61070000,0.61450000,9474544.00000000,1643677199999,5821682.10090000,8996,4759340.00000000,2924131.44720000,0
1643677200000,0.61450000,0.61820000,0.61420000,0.61630000,5233636.00000000,1643680799999,3224433.26790000,5946,2788936.00000000,1718466.03020000,0
1643680800000,0.61630000,0.62110000,0.61590000,0.62090000,4699430.00000000,1643684399999,2908299.05860000,5584,2941654.00000000,1820739.30480000,0
1643684400000,0.62090000,0.62770000,0.61980000,0.62640000,9108600.00000000,1643687999999,5680794.78310000,8811,5560621.00000000,3468540.46000000,0
1643688000000,0.62640000,0.62660000,0.62160000,0.62400000,6568253.00000000,1643691599999,4099978.37130000,6772,3063584.00000000,1912510.18740000,0
1643691600000,0.62390000,0.62520000,0.62190000,0.62200000,4953942.00000000,1643695199999,3090896.29110000,5264,2692286.00000000,1679864.10850000,0
1643695200000,0.62200000,0.62210000,0.61830000,0.61890000,7065918.00000000,1643698799999,4379732.06160000,7006,3397713.00000000,2106200.79350000,0
1643698800000,0.61900000,0.62010000,0.61660000,0.61780000,6243198.00000000,1643702399999,3861975.84010000,6574,3398425.00000000,2102226.84440000,0
1643702400000,0.61780000,0.62420000,0.61700000,0.62380000,5389036.00000000,1643705999999,3343433.11050000,5412,3198827.00000000,1985147.58360000,0
1643706000000,0.62390000,0.63000000,0.61400000,0.61690000,18025389.00000000,1643709599999,11205334.20940000,17568,9211267.00000000,5729107.31160000,0
1643709600000,0.61700000,0.61890000,0.61310000,0.61720000,8756906.00000000,1643713199999,5398685.55500000,7976,4255994.00000000,2623622.27170000,0
1643713200000,0.61720000,0.62290000,0.61630000,0.62160000,6594564.00000000,1643716799999,4089251.50910000,6196,3996564.00000000,2478697.21710000,0
1643716800000,0.62160000,0.62370000,0.62000000,0.62140000,5395071.00000000,1643720399999,3354455.20280000,6302,2923455.00000000,1817791.22700000,0
1643720400000,0.62150000,0.62500000,0.61740000,0.62390000,9233900.00000000,1643723999999,5742620.24930000,8825,5293481.00000000,3292413.98340000,0
1643724000000,0.62380000,0.62520000,0.61560000,0.61990000,13158407.00000000,1643727599999,8175537.05880000,13291,6581837.00000000,4090746.30270000,0
1643727600000,0.61990000,0.62370000,0.61570000,0.62340000,8467317.00000000,1643731199999,5243600.75840000,9391,4143627.00000000,2566494.03500000,0
1643731200000,0.62340000,0.62880000,0.62040000,0.62730000,9030347.00000000,1643734799999,5638459.23180000,9192,4865984.00000000,3038213.57580000,0
1643734800000,0.62720000,0.62790000,0.62110000,0.62340000,8115319.00000000,1643738399999,5065532.39590000,7672,4080370.00000000,2547426.85200000,0
1643738400000,0.62330000,0.62720000,0.62160000,0.62240000,4741103.00000000,1643741999999,2958924.32890000,5513,2234784.00000000,1394654.00580000,0
1643742000000,0.62230000,0.62400000,0.61990000,0.62200000,4813247.00000000,1643745599999,2994282.08040000,5762,2237674.00000000,1392105.28680000,0
1643745600000,0.62200000,0.62660000,0.62170000,0.62380000,4613786.00000000,1643749199999,2879829.31440000,5391,2508090.00000000,1565700.57040000,0
1643749200000,0.62380000,0.62670000,0.62320000,0.62520000,4344523.00000000,1643752799999,2716428.91720000,4779,2363639.00000000,1478002.56330000,0
1643752800000,0.62520000,0.62830000,0.62410000,0.62830000,3102573.00000000,1643756399999,1942157.29170000,4340,1762410.00000000,1103343.01690000,0
1643756400000,0.62820000,0.63080000,0.62610000,0.62840000,7171611.00000000,1643759999999,4509318.39090000,6617,3745834.00000000,2355616.03410000,0
1643760000000,0.62840000,0.63140000,0.62530000,0.62740000,7817274.00000000,1643763599999,4910235.08110000,8052,3678717.00000000,2311057.93770000,0
1643763600000,0.62730000,0.62950000,0.62350000,0.62460000,5524464.00000000,1643767199999,3455992.06330000,5634,2872684.00000000,1796885.42260000,0
1643767200000,0.62450000,0.62810000,0.62280000,0.62650000,3615433.00000000,1643770799999,2263656.51230000,4308,2036513.00000000,1275290.35280000,0
1643770800000,0.62650000,0.62900000,0.62540000,0.62560000,3782881.00000000,1643774399999,2372388.85680000,4326,1822490.00000000,1142857.93010000,0
1643774400000,0.62560000,0.62670000,0.62410000,0.62570000,3593819.00000000,1643777999999,2247850.69030000,4253,2029879.00000000,1269700.00260000,0
1643778000000,0.62560000,0.62680000,0.62460000,0.62640000,3714000.00000000,1643781599999,2323898.03260000,3966,1841536.00000000,1152379.06110000,0
